fecha,Kind,Number,variable
2017-12-22,Observed,22.0,calls
2017-12-23,Observed,16.0,calls
2017-12-24,Observed,10.0,calls
2017-12-25,Observed,17.0,calls
2017-12-26,Observed,22.0,calls
2017-12-27,Observed,16.0,calls
2017-12-28,Observed,18.0,calls
2017-12-29,Observed,16.0,calls
2017-12-30,Observed,26.0,calls
2017-12-31,Observed,21.0,calls
2018-01-01,Observed,10.0,calls
2018-01-02,Observed,15.0,calls
2018-01-03,Observed,27.0,calls
2018-01-04,Observed,25.0,calls
2018-01-05,Observed,15.0,calls
2018-01-06,Observed,25.0,calls
2018-01-07,Observed,18.0,calls
2018-01-08,Observed,25.0,calls
2018-01-09,Observed,18.0,calls
2018-01-10,Observed,23.0,calls
2018-01-11,Observed,23.0,calls
2018-01-12,Observed,33.0,calls
2018-01-13,Observed,20.0,calls
2018-01-14,Observed,21.0,calls
2018-01-15,Observed,29.0,calls
2018-01-16,Observed,22.0,calls
2018-01-17,Observed,26.0,calls
2018-01-18,Observed,26.0,calls
2018-01-19,Observed,21.0,calls
2018-01-20,Observed,19.0,calls
2018-01-21,Observed,26.0,calls
2018-01-22,Observed,24.0,calls
2018-01-23,Observed,28.0,calls
2018-01-24,Observed,38.0,calls
2018-01-25,Observed,22.0,calls
2018-01-26,Observed,29.0,calls
2018-01-27,Observed,28.0,calls
2018-01-28,Observed,21.0,calls
2018-01-29,Observed,29.0,calls
2018-01-30,Observed,21.0,calls
2018-01-31,Observed,27.0,calls
2018-02-01,Observed,18.0,calls
2018-02-02,Observed,16.0,calls
2018-02-03,Observed,28.0,calls
2018-02-04,Observed,18.0,calls
2018-02-05,Observed,26.0,calls
2018-02-06,Observed,18.0,calls
2018-02-07,Observed,17.0,calls
2018-02-08,Observed,16.0,calls
2018-02-09,Observed,21.0,calls
2018-02-10,Observed,23.0,calls
2018-02-11,Observed,15.0,calls
2018-02-12,Observed,16.0,calls
2018-02-13,Observed,31.0,calls
2018-02-14,Observed,16.0,calls
2018-02-15,Observed,23.0,calls
2018-02-16,Observed,20.0,calls
2018-02-17,Observed,31.0,calls
2018-02-18,Observed,21.0,calls
2018-02-19,Observed,31.0,calls
2018-02-20,Observed,16.0,calls
2018-02-21,Observed,18.0,calls
2018-02-22,Observed,15.0,calls
2018-02-23,Observed,18.0,calls
2018-02-24,Observed,15.0,calls
2018-02-25,Observed,22.0,calls
2018-02-26,Observed,23.0,calls
2018-02-27,Observed,16.0,calls
2018-02-28,Observed,24.0,calls
2018-03-01,Observed,15.0,calls
2018-03-02,Observed,20.0,calls
2018-03-03,Observed,33.0,calls
2018-03-04,Observed,20.0,calls
2018-03-05,Observed,24.0,calls
2018-03-06,Observed,18.0,calls
2018-03-07,Observed,17.0,calls
2018-03-08,Observed,28.0,calls
2018-03-09,Observed,24.0,calls
2018-03-10,Observed,22.0,calls
2018-03-11,Observed,18.0,calls
2018-03-12,Observed,19.0,calls
2018-03-13,Observed,21.0,calls
2018-03-14,Observed,19.0,calls
2018-03-15,Observed,19.0,calls
2018-03-16,Observed,17.0,calls
2018-03-17,Observed,13.0,calls
2018-03-18,Observed,23.0,calls
2018-03-19,Observed,17.0,calls
2018-03-20,Observed,15.0,calls
2018-03-21,Observed,22.0,calls
2018-03-22,Observed,21.0,calls
2018-03-23,Observed,24.0,calls
2018-03-24,Observed,16.0,calls
2018-03-25,Observed,19.0,calls
2018-03-26,Observed,22.0,calls
2018-03-27,Observed,17.0,calls
2018-03-28,Observed,27.0,calls
2018-03-29,Observed,19.0,calls
2018-03-30,Observed,15.0,calls
2018-03-31,Observed,20.0,calls
2018-04-01,Observed,13.0,calls
2018-04-02,Observed,11.0,calls
2018-04-03,Observed,23.0,calls
2018-04-04,Observed,16.0,calls
2018-04-05,Observed,16.0,calls
2018-04-06,Observed,16.0,calls
2018-04-07,Observed,20.0,calls
2018-04-08,Observed,26.0,calls
2018-04-09,Observed,26.0,calls
2018-04-10,Observed,31.0,calls
2018-04-11,Observed,14.0,calls
2018-04-12,Observed,39.0,calls
2018-04-13,Observed,28.0,calls
2018-04-14,Observed,12.0,calls
2018-04-15,Observed,18.0,calls
2018-04-16,Observed,18.0,calls
2018-04-17,Observed,23.0,calls
2018-04-18,Observed,29.0,calls
2018-04-19,Observed,19.0,calls
2018-04-20,Observed,23.0,calls
2018-04-21,Observed,30.0,calls
2018-04-22,Observed,26.0,calls
2018-04-23,Observed,28.0,calls
2018-04-24,Observed,23.0,calls
2018-04-25,Observed,19.0,calls
2018-04-26,Observed,22.0,calls
2018-04-27,Observed,21.0,calls
2018-04-28,Observed,20.0,calls
2018-04-29,Observed,25.0,calls
2018-04-30,Observed,17.0,calls
2018-05-01,Observed,29.0,calls
2018-05-02,Observed,30.0,calls
2018-05-03,Observed,18.0,calls
2018-05-04,Observed,25.0,calls
2018-05-05,Observed,26.0,calls
2018-05-06,Observed,17.0,calls
2018-05-07,Observed,28.0,calls
2018-05-08,Observed,28.0,calls
2018-05-09,Observed,21.0,calls
2018-05-10,Observed,26.0,calls
2018-05-11,Observed,21.0,calls
2018-05-12,Observed,21.0,calls
2018-05-13,Observed,20.0,calls
2018-05-14,Observed,20.0,calls
2018-05-15,Observed,20.0,calls
2018-05-16,Observed,24.0,calls
2018-05-17,Observed,14.0,calls
2018-05-18,Observed,19.0,calls
2018-05-19,Observed,21.0,calls
2018-05-20,Observed,23.0,calls
2018-05-21,Observed,38.0,calls
2018-05-22,Observed,17.0,calls
2018-05-23,Observed,28.0,calls
2018-05-24,Observed,25.0,calls
2018-05-25,Observed,15.0,calls
2018-05-26,Observed,28.0,calls
2018-05-27,Observed,19.0,calls
2018-05-28,Observed,21.0,calls
2018-05-29,Observed,32.0,calls
2018-05-30,Observed,15.0,calls
2018-05-31,Observed,18.0,calls
2018-06-01,Observed,23.0,calls
2018-06-02,Observed,18.0,calls
2018-06-03,Observed,14.0,calls
2018-06-04,Observed,20.0,calls
2018-06-05,Observed,31.0,calls
2018-06-06,Observed,17.0,calls
2018-06-07,Observed,9.0,calls
2018-06-08,Observed,21.0,calls
2018-06-09,Observed,22.0,calls
2018-06-10,Observed,28.0,calls
2018-06-11,Observed,32.0,calls
2018-06-12,Observed,21.0,calls
2018-06-13,Observed,24.0,calls
2018-06-14,Observed,19.0,calls
2018-06-15,Observed,17.0,calls
2018-06-16,Observed,21.0,calls
2018-06-17,Observed,23.0,calls
2018-06-18,Observed,26.0,calls
2018-06-19,Observed,16.0,calls
2018-06-20,Observed,29.0,calls
